distance_nm,block_time_h,revenue,total_cost,profit,profit_margin,profit_per_passenger,avg_fare,load_factor
740.0,2.394,25650.0,10084.72,15565.28,0.6068,115.3,170,0.7500000000000002
740.0,2.394,27360.0,10084.72,17275.28,0.6314,119.97,170,0.8000000000000003
740.0,2.394,29070.0,10084.72,18985.28,0.6531,124.09,170,0.8500000000000003
740.0,2.394,30780.0,10084.72,20695.28,0.6724,127.75,170,0.9000000000000004
740.0,2.394,32490.0,10084.72,22405.28,0.6896,131.03,170,0.9500000000000004
740.0,2.394,18900.0,10084.72,8815.28,0.4664,97.95,190,0.5
740.0,2.394,20790.0,10084.72,10705.28,0.5149,108.13,190,0.55
740.0,2.394,22680.0,10084.72,12595.28,0.5553,116.62,190,0.6000000000000001
740.0,2.394,24570.0,10084.72,14485.28,0.5896,123.81,190,0.6500000000000001
740.0,2.394,26460.0,10084.72,16375.28,0.6189,129.96,190,0.7000000000000002
740.0,2.394,28350.0,10084.72,18265.28,0.6443,135.3,190,0.7500000000000002
740.0,2.394,30240.0,10084.72,20155.28,0.6665,139.97,190,0.8000000000000003
740.0,2.394,32130.0,10084.72,22045.28,0.6861,144.09,190,0.8500000000000003
740.0,2.394,34020.0,10084.72,23935.28,0.7036,147.75,190,0.9000000000000004
740.0,2.394,35910.0,10084.72,25825.28,0.7192,151.03,190,0.9500000000000004
740.0,2.394,20700.0,10084.72,10615.28,0.5128,117.95,210,0.5
740.0,2.394,22770.0,10084.72,12685.28,0.5571,128.13,210,0.55
740.0,2.394,24840.0,10084.72,14755.28,0.594,136.62,210,0.6000000000000001
740.0,2.394,26910.0,10084.72,16825.28,0.6252,143.81,210,0.6500000000000001
740.0,2.394,28980.0,10084.72,18895.28,0.652,149.96,210,0.7000000000000002
740.0,2.394,31050.0,10084.72,20965.28,0.6752,155.3,210,0.7500000000000002
740.0,2.394,33120.0,10084.72,23035.28,0.6955,159.97,210,0.8000000000000003
740.0,2.394,35190.0,10084.72,25105.28,0.7134,164.09,210,0.8500000000000003
740.0,2.394,37260.0,10084.72,27175.28,0.7293,167.75,210,0.9000000000000004
740.0,2.394,39330.0,10084.72,29245.28,0.7436,171.03,210,0.9500000000000004
740.0,2.394,22500.0,10084.72,12415.28,0.5518,137.95,230,0.5
740.0,2.394,24750.0,10084.72,14665.28,0.5925,148.13,230,0.55
740.0,2.394,27000.0,10084.72,16915.28,0.6265,156.62,230,0.6000000000000001
740.0,2.394,29250.0,10084.72,19165.28,0.6552,163.81,230,0.6500000000000001
740.0,2.394,31500.0,10084.72,21415.28,0.6799,169.96,230,0.7000000000000002
740.0,2.394,33750.0,10084.72,23665.28,0.7012,175.3,230,0.7500000000000002
740.0,2.394,36000.0,10084.72,25915.28,0.7199,179.97,230,0.8000000000000003
740.0,2.394,38250.0,10084.72,28165.28,0.7363,184.09,230,0.8500000000000003
740.0,2.394,40500.0,10084.72,30415.28,0.751,187.75,230,0.9000000000000004
740.0,2.394,42750.0,10084.72,32665.28,0.7641,191.03,230,0.9500000000000004
740.0,2.394,24300.0,10084.72,14215.28,0.585,157.95,250,0.5
740.0,2.394,26730.0,10084.72,16645.28,0.6227,168.13,250,0.55
740.0,2.394,29160.0,10084.72,19075.28,0.6542,176.62,250,0.6000000000000001
740.0,2.394,31590.0,10084.72,21505.28,0.6808,183.81,250,0.6500000000000001
740.0,2.394,34020.0,10084.72,23935.28,0.7036,189.96,250,0.7000000000000002
740.0,2.394,36450.0,10084.72,26365.28,0.7233,195.3,250,0.7500000000000002
740.0,2.394,38880.0,10084.72,28795.28,0.7406,199.97,250,0.8000000000000003
740.0,2.394,41310.0,10084.72,31225.28,0.7559,204.09,250,0.8500000000000003
740.0,2.394,43740.0,10084.72,33655.28,0.7694,207.75,250,0.9000000000000004
740.0,2.394,46170.0,10084.72,36085.28,0.7816,211.03,250,0.9500000000000004
